Talhao;Plantio;IdParcela;AreaParc;DataPlantio;DataColeta;Linha;Arvore;Fuste;Cap;Ht;Categoria1;Categoria2;Inclinacao;CoordenadaX;CoordenadaY;Observacao
T-6;P-6;IFC_12_001;400;01/05/2010;26/09/2018;1;1;1;57.5;;NORMAL;;0;-5397725337;-2049390493;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;2;5;1;58;;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;2;6;1;40.4;;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;1;1;56.5;;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;2;1;49.2;;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;3;1;48.1;;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;4;1;54.7;;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;5;1;52;;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;6;1;54.2;;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;7;1;54;;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;1;1;50.5;33.9;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;2;4;1;41.7;;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;2;1;57.2;31.9;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;4;1;53.3;31.3;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;5;1;46.4;30.5;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;6;1;45.7;29;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;7;1;49.4;30.5;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;8;1;36.5;23.3;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;5;1;1;57;30;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;5;2;1;55;31.2;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;5;3;1;60.5;32.2;DOMINANTE;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;5;4;1;60.2;33.9;DOMINANTE;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;5;5;1;56.8;28.8;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;3;1;44.5;27.5;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;2;3;1;52.9;;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;2;2;1;31.9;;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;2;1;1;45.8;;NORMAL;;0;-5397815827;-2049512442;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;4;7;1;;;FALHA;;0;-5397601955;-2049466213;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;4;8;1;53.5;29.6;NORMAL;;0;-5397601955;-2049466213;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;1;1;50.5;30.6;NORMAL;;0;-5397601955;-2049466213;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;2;1;57.8;31.7;DOMINANTE;;0;-5397601955;-2049466213;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;3;1;39;25.9;NORMAL;;0;-5397601955;-2049466213;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;4;1;53.6;31;NORMAL;;0;-5397601955;-2049466213;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;5;1;47.2;30;NORMAL;;0;-5397601955;-2049466213;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;6;1;56;30.6;NORMAL;;0;-5397601955;-2049466213;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;7;1;55;31.3;NORMAL;;0;-5397601955;-2049466213;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;6;1;1;41.3;;NORMAL;;0;-5397601955;-2049466213;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;6;2;1;39.4;;NORMAL;;0;-5397601955;-2049466213;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;6;3;1;41.2;;NORMAL;;0;-5397601955;-2049466213;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;6;4;1;41;;NORMAL;;0;-5397601955;-2049466213;
T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;6;5;1;50;;NORMAL;;0;-5397601955;-2049466213;
