Código da Árvore;DAP;HT;Altura da secção;Diâmetro da secção;Espessura da casca;talhao;material_genetico_cod;idade;V5casca
1;12;24.8;0.1;13.45;0.4;T-6;GG-100;2;0.008153022
1;12;24.8;0.7;12.85;0.3;T-6;GG-100;2;0.007283527
1;12;24.8;1.3;12;0.3;T-6;GG-100;2;0.007753598
1;12;24.8;2;11.75;0.3;T-6;GG-100;2;0.010347719
1;12;24.8;3;11.2;0.2;T-6;GG-100;2;0.009338384
1;12;24.8;4;10.6;0.2;T-6;GG-100;2;0.008824734
1;12;24.8;5;10.6;0.2;T-6;GG-100;2;0.007664308
1;12;24.8;6;9.1;0.2;T-6;GG-100;2;0.006293003
1;12;24.8;7;8.8;0.2;T-6;GG-100;2;0.005878313
1;12;24.8;8;8.5;0.2;T-6;GG-100;2;0.00541375
1;12;24.8;9;8.1;0.2;T-6;GG-100;2;0.004838763
1;12;24.8;10;7.59;0.1;T-6;GG-100;2;0.004326389
1;12;24.8;11;7.25;0.1;T-6;GG-100;2;0.004043721
1;12;24.8;12;7.1;0.1;T-6;GG-100;2;0.003613322
1;12;24.8;13;6.45;0.1;T-6;GG-100;2;0.003242222
1;12;24.8;14;6.4;0.1;T-6;GG-100;2;0.003069729
1;12;24.8;15;6.1;0.1;T-6;GG-100;2;0.002585236
1;12;24.8;16;5.35;0.1;T-6;GG-100;2;0.002066873
1;12;24.8;17;4.9;0.1;T-6;GG-100;2;0.001619196
1;12;24.8;18;4.15;0.1;T-6;GG-100;2;0.001289035
1;12;24.8;19;3.95;0.1;T-6;GG-100;2;0.001118823
1;12;24.8;20;3.59;0.1;T-6;GG-100;2;0.000859544
1;12;24.8;21;3;0.1;T-6;GG-100;2;0.000518461
1;12;24.8;22;2.05;0.1;T-6;GG-100;2;0.000225413
1;12;24.8;23;1.24;0.1;T-6;GG-100;2;8.12384E-05
1;12;24.8;24;0.8;0.1;T-6;GG-100;2;0
2;12.5;26.4;0.1;14.7;0.7;T-6;GG-100;2;0.009165891
2;12.5;26.4;0.7;13.15;0.5;T-6;GG-100;2;0.007755944
2;12.5;26.4;1.3;12.5;0.5;T-6;GG-100;2;0.008617825
2;12.5;26.4;2;12.54;0.4;T-6;GG-100;2;0.011505066
2;12.5;26.4;3;11.65;0.4;T-6;GG-100;2;0.010568514
2;12.5;26.4;4;11.55;0.3;T-6;GG-100;2;0.009819146
2;12.5;26.4;5;10.8;0.3;T-6;GG-100;2;0.008468261
2;12.5;26.4;6;9.95;0.3;T-6;GG-100;2;0.007659301
2;12.5;26.4;7;9.8;0.2;T-6;GG-100;2;0.007023423
2;12.5;26.4;8;9.1;0.2;T-6;GG-100;2;0.006327658
2;12.5;26.4;9;8.85;0.2;T-6;GG-100;2;0.005813714
2;12.5;26.4;10;8.35;0.2;T-6;GG-100;2;0.0054433
2;12.5;26.4;11;8.3;0.2;T-6;GG-100;2;0.005063953
2;12.5;26.4;12;7.75;0.2;T-6;GG-100;2;0.004597132
2;12.5;26.4;13;7.55;0.2;T-6;GG-100;2;0.004162708
2;12.5;26.4;14;7;0.2;T-6;GG-100;2;0.003453301
