;Talhao;Plantio;IdParcela;AreaParc;DataPlantio;DataColeta;Linha;Arvore;Fuste;Cap;Ht;Categoria1;CoordenadaX;CoordenadaY;DAP;lnHt;1/dap;Label;Hest
0;T-6;P-6;IFC_12_001;400;01/05/2010;26/09/2018;1;1;1;57.5;;NORMAL;-5397725337;-2049390493;18.30281846;;0.054636394;3.402591778;30.04
1;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;2;5;1;58;;NORMAL;-5397815827;-2049512442;18.4619734;;0.054165391;3.421464742;30.61
2;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;2;6;1;40.4;;NORMAL;-5397815827;-2049512442;12.8597194;;0.077762194;3.262035656;26.10
3;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;1;1;56.5;;NORMAL;-5397815827;-2049512442;17.98450857;;0.05560341;3.410941646;30.29
4;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;2;1;49.2;;NORMAL;-5397815827;-2049512442;15.6608464;;0.063853509;3.415056212;30.42
5;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;3;1;48.1;;NORMAL;-5397815827;-2049512442;15.31070553;;0.065313777;3.369543744;29.07
6;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;4;1;54.7;;NORMAL;-5397815827;-2049512442;17.41155077;;0.057433138;3.421597532;30.62
7;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;5;1;52;;NORMAL;-5397815827;-2049512442;16.55211408;;0.060415243;3.412688371;30.35
8;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;6;1;54.2;;NORMAL;-5397815827;-2049512442;17.25239583;;0.057962964;3.427220748;30.79
9;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;3;7;1;54;;NORMAL;-5397815827;-2049512442;17.18873385;;0.058177642;3.427220748;30.79
10;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;1;1;50.5;33.9;NORMAL;-5397815827;-2049512442;16.07464925;3.523415014;0.062209756;3.429881958;33.90
11;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;2;4;1;41.7;;NORMAL;-5397815827;-2049512442;13.27352225;;0.075337953;3.281167363;26.61
12;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;2;1;57.2;31.9;NORMAL;-5397815827;-2049512442;18.20732549;3.46260601;0.054922948;3.405343297;31.90
13;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;4;1;53.3;31.3;NORMAL;-5397815827;-2049512442;16.96591693;3.443618098;0.058941701;3.410085755;31.30
14;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;5;1;46.4;30.5;NORMAL;-5397815827;-2049512442;14.76957872;3.417726684;0.067706738;3.358096141;30.50
15;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;6;1;45.7;29;NORMAL;-5397815827;-2049512442;14.5467618;3.36729583;0.068743822;3.339391543;29.00
16;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;7;1;49.4;30.5;NORMAL;-5397815827;-2049512442;15.72450838;3.417726684;0.063594993;3.415056212;30.50
17;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;8;1;36.5;23.3;NORMAL;-5397815827;-2049512442;11.61831085;3.148453361;0.086071032;3.230654041;23.30
18;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;5;1;1;57;30;NORMAL;-5397815827;-2049512442;18.14366351;3.401197382;0.055115661;3.402196441;30.00
19;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;5;2;1;55;31.2;NORMAL;-5397815827;-2049512442;17.50704374;3.440418095;0.057119866;3.417304759;31.20
20;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;5;3;1;60.5;32.2;DOMINANTE;-5397815827;-2049512442;19.25774811;3.471966453;0.051927151;3.427663671;32.20
21;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;5;4;1;60.2;33.9;DOMINANTE;-5397815827;-2049512442;19.16225515;3.523415014;0.052185924;3.428630383;33.90
22;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;5;5;1;56.8;28.8;NORMAL;-5397815827;-2049512442;18.08000154;3.360375387;0.05530973;3.402031404;28.80
23;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;4;3;1;44.5;27.5;NORMAL;-5397815827;-2049512442;14.16478994;3.314186005;0.070597588;3.323611504;27.50
24;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;2;3;1;52.9;;NORMAL;-5397815827;-2049512442;16.83859298;;0.059387385;3.409260751;30.24
25;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;2;2;1;31.9;;NORMAL;-5397815827;-2049512442;10.15408537;;0.098482528;3.041441914;20.94
26;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;2;1;1;45.8;;NORMAL;-5397815827;-2049512442;14.57859279;;0.068593726;3.339391543;28.20
28;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;4;8;1;53.5;29.6;NORMAL;-5397601955;-2049466213;17.02957891;3.387774361;0.058721358;3.397348145;29.60
29;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;1;1;50.5;30.6;NORMAL;-5397601955;-2049466213;16.07464925;3.421000009;0.062209756;3.40118303;30.60
30;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;2;1;57.8;31.7;DOMINANTE;-5397601955;-2049466213;18.39831142;3.456316681;0.054352814;3.423029203;31.70
31;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;3;1;39;25.9;NORMAL;-5397601955;-2049466213;12.41408556;3.254242969;0.080553658;3.263437068;25.90
32;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;4;1;53.6;31;NORMAL;-5397601955;-2049466213;17.0614099;3.433987204;0.058611803;3.400594998;31.00
33;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;5;1;47.2;30;NORMAL;-5397601955;-2049466213;15.02422663;3.401197382;0.066559166;3.372736973;30.00
34;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;6;1;56;30.6;NORMAL;-5397601955;-2049466213;17.82535363;3.421000009;0.056099869;3.398314308;30.60
35;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;5;7;1;55;31.3;NORMAL;-5397601955;-2049466213;17.50704374;3.443618098;0.057119866;3.418958071;31.30
36;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;6;1;1;41.3;;NORMAL;-5397601955;-2049466213;13.1461983;;0.076067619;3.27277369;26.38
37;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;6;2;1;39.4;;NORMAL;-5397601955;-2049466213;12.54140952;;0.079735854;3.26650775;26.22
38;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;6;3;1;41.2;;NORMAL;-5397601955;-2049466213;13.11436731;;0.076252249;3.27277369;26.38
39;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;6;4;1;41;;NORMAL;-5397601955;-2049466213;13.05070533;;0.076624211;3.266640806;26.22
40;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;6;5;1;50;;NORMAL;-5397601955;-2049466213;15.91549431;;0.062831853;3.398253328;29.91
41;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;7;1;1;59.8;31.9;DOMINANTE;-5397601955;-2049466213;19.03493119;3.46260601;0.052534994;3.434582746;31.90
42;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;7;2;1;52;;NORMAL;-5397601955;-2049466213;16.55211408;;0.060415243;3.401280591;30.00
43;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;7;3;1;55;;NORMAL;-5397601955;-2049466213;17.50704374;;0.057119866;3.418958071;30.54
44;T-6;P-6;IFC_12_007;400;01/05/2010;26/09/2018;7;4;1;57.7;;NORMAL;-5397601955;-2049466213;18.36648043;;0.054447013;3.424951049;30.72
45;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;1;1;1;47.2;;NORMAL;-5397815827;-2049512442;15.02422663;;0.066559166;3.378089798;29.31
46;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;1;2;1;55.4;;NORMAL;-5397815827;-2049512442;17.63436769;;0.056707449;3.399818766;29.96
47;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;1;3;1;54.8;;NORMAL;-5397815827;-2049512442;17.44338176;;0.057328333;3.421597532;30.62
48;T-6;P-6;IFC_12_008;400;01/05/2010;26/09/2018;1;4;1;49.9;;NORMAL;-5397815827;-2049512442;15.88366332;;0.062957769;3.415098751;30.42
